noise,snr_idx,CC_mean,CC_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,RRMSE_mean,RRMSE_std,RRMSE_temp_mean,RRMSE_temp_std,RRMSE_spec_mean,RRMSE_spec_std,CC_overall,MSE_overall,RMSE_overall,RRMSE_overall,RRMSE_temp_overall,RRMSE_spec_overall
CHEW,0,0.9703243374824524,0.042211174964904785,0.05771266296505928,0.07784543931484222,0.21415771543979645,0.1088537946343422,0.21415771543979645,0.1088537946343422,0.21415771543979645,0.1088537946343422,0.18601809934718197,0.11664229709461904,,,,,,
CHEW,1,0.9761733412742615,0.031497906893491745,0.046671248972415924,0.058778613805770874,0.19550983607769012,0.09190837293863297,0.19550983607769012,0.09190837293863297,0.19550983607769012,0.09190837293863297,0.16842023650035623,0.10020664391376898,,,,,,
CHEW,2,0.9804781675338745,0.023457085713744164,0.03845856338739395,0.04429670795798302,0.17997922003269196,0.07788481563329697,0.17997922003269196,0.07788481563329697,0.17997922003269196,0.07788481563329697,0.15381054632905128,0.0865959741750656,,,,,,
CHEW,3,0.9836680889129639,0.017540818080306053,0.0323156975209713,0.03352105990052223,0.16698241233825684,0.06657760590314865,0.16698241233825684,0.06657760590314865,0.16698241233825684,0.06657760590314865,0.14162347638477032,0.07567606284054412,,,,,,
CHEW,4,0.9860730171203613,0.013315944001078606,0.027648698538541794,0.02572554163634777,0.15599767863750458,0.05756235122680664,0.15599767863750458,0.05756235122680664,0.15599767863750458,0.05756235122680664,0.1313788915414259,0.0671099365079843,,,,,,
CHEW,5,0.9879209995269775,0.010366376489400864,0.024038493633270264,0.02020086720585823,0.14660830795764923,0.05044301971793175,0.14660830795764923,0.05044301971793175,0.14660830795764923,0.05044301971793175,0.12266014233683821,0.06035347640728869,,,,,,
CHEW,6,0.9893752932548523,0.008265197277069092,0.021182646974921227,0.0162097979336977,0.13848216831684113,0.04478099197149277,0.13848216831684113,0.04478099197149277,0.13848216831684113,0.04478099197149277,0.11514288510230472,0.054894246576614944,,,,,,
CHEW,7,0.9905474185943604,0.006733893882483244,0.018872587010264397,0.013267849572002888,0.13135926425457,0.04021608456969261,0.13135926425457,0.04021608456969261,0.13135926425457,0.04021608456969261,0.10859368970803984,0.05045226562276948,,,,,,
CHEW,8,0.9915100932121277,0.005607848055660725,0.016969788819551468,0.011086078360676765,0.1250467300415039,0.03651167079806328,0.1250467300415039,0.03651167079806328,0.1250467300415039,0.03651167079806328,0.10284220390550035,0.04685505080699688,,,,,,
CHEW,9,0.9923146367073059,0.004767182748764753,0.015376045368611813,0.009447365999221802,0.11939555406570435,0.033477574586868286,0.11939555406570435,0.033477574586868286,0.11939555406570435,0.033477574586868286,0.09774514728010683,0.04390812497478784,,,,,,
CHEW,10,0.992997407913208,0.0041262987069785595,0.01402166299521923,0.008192655630409718,0.11429168283939362,0.03096892684698105,0.11429168283939362,0.03096892684698105,0.11429168283939362,0.03096892684698105,0.09319826257892522,0.04146652145497109,,,,,,
CHEW,ALL,,,,,,,,,,,,,0.985580325126648,0.028478916734457016,0.1534373164176941,0.1534373164176941,0.1534373164176941,0.1292212346376819
